function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-330,rdtsc.h:9-11,stdio2.h:100-100;80.43;10.72;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;19.38;2.58;;;;;;"0,0,0,0,100,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.08;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.04;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
1458;libc-2.31.so;__fprintf_chk;;0.02;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0.02;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.01;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
718;libc-2.31.so;explicit_bzero;;0.01;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
550;libc-2.31.so;__libc_alloca_cutoff;;0.01;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0.01;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
267;libpthread-2.31.so;__pthread_cleanup_push_defer;;0.01;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0.01;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
