block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
54;sobel;sobel.c:55-56;56.45;35.81;;;;;;
63;sobel;sobel.c:80-82;7.37;4.67;;;;;;
53;sobel;sobel.c:55-55;6.49;4.12;;;;;;
65;sobel;sobel.c:82-84;5;3.17;;;;;;
44;sobel;sobel.c:20-29;3.28;2.08;;;;;;
50;sobel;sobel.c:51-54;2.5;1.58;;;;;;
66;sobel;sobel.c:84-84;2.19;1.39;;;;;;
52;sobel;sobel.c:55-55;2.06;1.3;;;;;;
62;sobel;sobel.c:79-80;1.84;1.16;;;;;;
61;sobel;sobel.c:79-79;1.62;1.02;;;;;;
51;sobel;sobel.c:54-54;1.6;1.01;;;;;;
68;sobel;sobel.c:77-84;1.07;0.68;;;;;;
55;sobel;sobel.c:54-54;1.06;0.67;;;;;;
56;sobel;sobel.c:58-59;0.49;0.31;;;;;;
43;sobel;sobel.c:20-20;0.02;0.01;;;;;;
60;sobel;sobel.c:77-77;0.01;0;;;;;;
67;sobel;sobel.c:84-84;0.01;0;;;;;;
