block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
54;sobel;sobel.c:55-56;56.44;35.8;;;;;;
63;sobel;sobel.c:80-82;7.09;4.49;;;;;;
53;sobel;sobel.c:55-55;6.26;3.97;;;;;;
65;sobel;sobel.c:82-84;5.66;3.59;;;;;;
44;sobel;sobel.c:20-29;3.3;2.09;;;;;;
66;sobel;sobel.c:84-84;2.16;1.37;;;;;;
50;sobel;sobel.c:51-54;2.06;1.3;;;;;;
52;sobel;sobel.c:55-55;2.05;1.3;;;;;;
61;sobel;sobel.c:79-79;1.79;1.13;;;;;;
51;sobel;sobel.c:54-54;1.76;1.11;;;;;;
62;sobel;sobel.c:79-80;1.65;1.04;;;;;;
68;sobel;sobel.c:77-84;1.3;0.82;;;;;;
55;sobel;sobel.c:54-54;1.02;0.64;;;;;;
56;sobel;sobel.c:58-59;0.61;0.39;;;;;;
43;sobel;sobel.c:20-20;0.04;0.02;;;;;;
67;sobel;sobel.c:84-84;0.03;0.02;;;;;;
60;sobel;sobel.c:77-77;0.01;0;;;;;;
