function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;61.99;10.71;10.71;10.71;10.71;0;1;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;37.93;6.55;6.55;6.55;6.55;0;1;"0,0,0,0,96.75055456864,3.24944543136,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
1458;libc-2.31.so;__fprintf_chk;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
498;libc-2.31.so;_IO_file_xsputn;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
309;libc-2.31.so;__printf_fp;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
306;libc-2.31.so;cuserid;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
299;libc-2.31.so;swapcontext;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
267;libpthread-2.31.so;__pthread_cleanup_push_defer;;0.01;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
204;libc-2.31.so;getenv;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
113;libgomp.so.1.0.0;GOMP_critical_start;;0.01;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
