function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;52.66;5.78;2.65;2.67;2.69;31.174259185791;4;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;47.05;5.16;0.36;2.38;8.32;31.434608459473;4;"0,0,0.020990918273889,0,97.711989908146,2.26701917358,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.19;0.02;0.01;0.01;0.01;0.054777696728706;3;"0,0,100,0,0,0,0,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.03;0;0;0;0;0.026439271867275;3;"0,0,100,0,0,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.02;0;0;0;0;0.032559119164944;3;"0,0,0,0,0,0,100,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0;0;0;0.0013896184973419;2;"0,0,0,0,100,0,0,0,0,0";
550;libc-2.31.so;__libc_alloca_cutoff;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
498;libc-2.31.so;_IO_file_xsputn;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
267;libpthread-2.31.so;__pthread_cleanup_push_defer;;0;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
