function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
12;sobel;main._omp_fn.0;stdio2.h:105-105,rdtsc.h:9-11,sobel.c:21-338;55.46;0.38;;;;;;;"100,0,0,0,0,0,0,0,0,0";main._omp_fn.0;
11;sobel;sobel_v4;sobel.c:236-254;36.54;0.25;;;;;;;"100,0,0,0,0,0,0,0,0,0";sobel_v4;
-1;kernel;clear_page_rep;;2.62;0.02;;;;;;;"0,0,0,0,100,0,0,0,0,0";clear_page_rep;
-1;kernel;_raw_spin_unlock_irqrestore;;1.16;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;
-1;kernel;do_user_addr_fault;;1.02;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0";do_user_addr_fault;
-1;kernel;blk_cgroup_congested;;0.29;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";blk_cgroup_congested;
-1;kernel;get_page_from_freelist;;0.29;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";get_page_from_freelist;
-1;kernel;handle_mm_fault;;0.29;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";handle_mm_fault;
-1;kernel;charge_memcg;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";charge_memcg;
-1;kernel;__mod_lruvec_page_state;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__mod_lruvec_page_state;
-1;kernel;__mod_memcg_lruvec_state;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__mod_memcg_lruvec_state;
-1;kernel;get_mem_cgroup_from_mm;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";get_mem_cgroup_from_mm;
-1;kernel;propagate_protected_usage;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";propagate_protected_usage;
-1;kernel;vma_alloc_folio;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";vma_alloc_folio;
-1;kernel;__alloc_pages;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__alloc_pages;
-1;kernel;rmqueue_pcplist.constprop.0;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";rmqueue_pcplist.constprop.0;
-1;kernel;post_alloc_hook;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";post_alloc_hook;
-1;kernel;__page_set_anon_rmap;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__page_set_anon_rmap;
-1;kernel;__handle_mm_fault;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__handle_mm_fault;
-1;kernel;handle_pte_fault;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";handle_pte_fault;
-1;kernel;count_memcg_events.constprop.0;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";count_memcg_events.constprop.0;
-1;kernel;__rcu_read_unlock;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__rcu_read_unlock;
-1;kernel;up_read;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";up_read;
-1;kernel;pmd_pfn;;0.15;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";pmd_pfn;
